Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
116731,The Reprieve,Jean-Paul Sartre,"Sartre, Jean-Paul",Eric Sutton,"=""0679740783""","=""9780679740780""",0,3.96,Vintage,Paperback,464,1992,1945,,2018/01/08,to-read,to-read (#508),to-read,,,,0,,,0,,,,,
48757,The Tao of Pooh,Benjamin Hoff,"Hoff, Benjamin",Ernest H. Shepard,"=""1405204265""","=""9781405204262""",3,4.01,Egmont Books,Paperback,176,2003,1982,2018/01/05,2017/10/06,,,read,,,,1,,,0,,,,,
33917107,On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,"Snyder, Timothy",,"=""0804190119""","=""9780804190114""",4,4.27,Tim Duggan Books,Paperback,128,2017,2017,2018/01/05,2018/01/04,,,read,,,,1,,,0,,,,,
23420,How Proust Can Change Your Life,Alain de Botton,"Botton, Alain de",,"=""0679779159""","=""9780679779155""",0,3.77,Vintage,Paperback,208,1998,1997,,2018/01/03,to-read,to-read (#507),to-read,,,,0,,,0,,,,,
52036,Siddhartha,Hermann Hesse,"Hesse, Hermann",Hilda Rosner,"=""0553208845""","=""9780553208849""",0,3.99,Bantam Books,Mass Market Paperback,152,1981,1922,,2018/01/03,to-read,to-read (#506),to-read,,,,0,,,0,,,,,
320,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",Gregory Rabassa,"=""0060531045""","=""9780060531041""",0,4.04,Harper,Hardcover,457,2003,1967,,2018/01/03,to-read,to-read (#505),to-read,,,,0,,,0,,,,,
8822819,Girl with Curious Hair,David Foster Wallace,"Wallace, David Foster",,"=""""","=""""",0,3.89,W. W. Norton & Company,Paperback,373,1996,1988,,2018/01/02,to-read,to-read (#504),to-read,,,,0,,,0,,,,,
299215,The Road to Serfdom,Friedrich A. Hayek,"Hayek, Friedrich A.",,"=""0226320618""","=""9780226320618""",4,4.18,University Of Chicago Press,Paperback,274,1994,1944,2018/01/01,2015/04/22,,,read,,,,1,,,0,,,,,
364550,Two Treatises of Government,John Locke,"Locke, John","Peter Laslett, Raymond Geuss","=""0521357306""","=""9780521357302""",0,3.82,Cambridge University Press,Paperback,480,1988,1689,,2017/12/31,to-read,to-read (#503),to-read,,,,0,,,0,,,,,
385228,On Liberty,John Stuart Mill,"Mill, John Stuart",,"=""0140432078""","=""9780140432077""",0,3.94,Penguin Classics,Paperback,187,1985,1859,,2017/12/31,to-read,to-read (#502),to-read,,,,0,,,0,,,,,
6759,Infinite Jest,David Foster Wallace,"Wallace, David Foster",,"=""0316921173""","=""9780316921176""",0,4.31,Back Bay Books,Paperback,1088,2005,1996,,2017/12/29,currently-reading,currently-reading (#5),currently-reading,,,,1,,,0,,,,,
99275,The Poems of Dylan Thomas,Dylan Thomas,"Thomas, Dylan",Daniel     Jones,"=""0811215415""","=""9780811215411""",0,4.30,New Directions,Hardcover,352,2003,1965,,2017/12/28,to-read,to-read (#501),to-read,,,,0,,,0,,,,,
146487,The Great American Novel,Philip Roth,"Roth, Philip",,"=""3499223112""","=""9783499223112""",0,3.65,Rowohlt Tb.,Paperback,448,2002,1973,,2017/12/28,to-read,to-read (#500),to-read,,,,0,,,0,,,,,
20342617,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Stevenson, Bryan",,"=""0812994523""","=""9780812994520""",5,4.60,Spiegel & Grau,Hardcover,336,2014,2014,2017/12/22,2017/07/09,,,read,"This book floored me. I cried several times, especially at descriptions of the hours leading up to executions. Bravo, Mr. Stevenson. Gifted to several friends and family members for Christmas.",,,1,,,0,,,,,
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",,"=""""","=""""",5,4.33,Random House,Kindle Edition,208,2016,2016,2017/12/26,2017/03/30,,,read,"Such an incredible story and so well written. Kalanithi is SO GOOD at combining in one sentence an observation of a physical thing and an observation about the human condition. In a short book (I love me a short book) he has dozens of these. The result is a heartful, deeply human book. I love it.",,,0,,,0,,,,,
16204,Daisy Miller,Henry James,"James, Henry",,"=""1592243002""","=""9781592243006""",5,3.36,Wildside Press,Paperback,164,2003,1878,2017/12/26,2017/12/27,,,read,"Some of the best prose I've ever read, and a great story too.",,,0,,,0,,,,,
